Piece Code,Product,Size,Serial,Passport URL (encode in QR),Claim Code (print under label)
TEE-S-0001,DB-TEE-01,S,1,https://dirbalk.com/p/hkdsghd,B2TG-XQ47
TEE-S-0002,DB-TEE-01,S,2,https://dirbalk.com/p/kcbd823,5D3B-GYK4
TEE-S-0003,DB-TEE-01,S,3,https://dirbalk.com/p/uge2dxd,6MNC-HRMP
TEE-S-0004,DB-TEE-01,S,4,https://dirbalk.com/p/hng4qbz,EUKY-AKCA
TEE-S-0005,DB-TEE-01,S,5,https://dirbalk.com/p/3n727h3,KKMM-XZRE
TEE-S-0006,DB-TEE-01,S,6,https://dirbalk.com/p/fbfkegz,DJEU-XW8T
TEE-S-0007,DB-TEE-01,S,7,https://dirbalk.com/p/wpzp9rb,G6RQ-MWHT
TEE-S-0008,DB-TEE-01,S,8,https://dirbalk.com/p/b76e57b,D7MZ-9RYS
TEE-S-0009,DB-TEE-01,S,9,https://dirbalk.com/p/6fp7c33,BSRE-4GE5
TEE-S-0010,DB-TEE-01,S,10,https://dirbalk.com/p/bdjvab9,2VT4-FSXJ
TEE-S-0011,DB-TEE-01,S,11,https://dirbalk.com/p/ud3bshk,QHXU-TVBU
TEE-S-0012,DB-TEE-01,S,12,https://dirbalk.com/p/p88js9s,6AF8-45NB
TEE-S-0013,DB-TEE-01,S,13,https://dirbalk.com/p/j7gqvju,NEPJ-R8ZY
TEE-S-0014,DB-TEE-01,S,14,https://dirbalk.com/p/gypgn8e,4RBE-T8WQ
TEE-S-0015,DB-TEE-01,S,15,https://dirbalk.com/p/9tgtk48,2GGT-G8GZ
TEE-S-0016,DB-TEE-01,S,16,https://dirbalk.com/p/7knef3f,HPP2-M3YC
TEE-S-0017,DB-TEE-01,S,17,https://dirbalk.com/p/6rhd2rj,NWPZ-Q925
TEE-S-0018,DB-TEE-01,S,18,https://dirbalk.com/p/fj4dhuw,SMHY-HFZW
TEE-S-0019,DB-TEE-01,S,19,https://dirbalk.com/p/f97tvmn,G82U-STDU
TEE-S-0020,DB-TEE-01,S,20,https://dirbalk.com/p/vkv42jc,D5H6-QXKX
TEE-M-0021,DB-TEE-01,M,21,https://dirbalk.com/p/jnf23cb,VRHU-NV3A
TEE-M-0022,DB-TEE-01,M,22,https://dirbalk.com/p/c8suxv3,FN47-AABY
